,0
0,61
1,70
2,71
3,86
4,105
5,166
6,222
7,236
8,243
9,274
10,292
11,431
12,437
13,439
14,446
15,454
16,469
17,519
18,525
19,527
20,533
21,535
22,544
23,546
24,577
25,578
26,579
27,620
28,629
29,689
30,706
31,733
32,797
33,802
34,830
35,922
36,1028
37,1148
38,1274
39,1275
40,1277
41,1291
42,1306
43,1355
44,1361
45,1442
46,1485
47,1486
48,1487
49,1501
50,1526
51,1529
52,1706
53,1720
54,1726
55,1810
56,1812
57,1824
58,1827
59,1856
60,1903
61,2057
62,2112
63,2113
64,2182
65,2183
66,2184
67,2187
68,2189
69,2190
70,2275
71,2326
72,2330
73,2331
74,2357
75,2385
76,2433
77,2474
78,2482
79,2571
80,2573
81,2579
82,2582
83,2583
84,2584
85,2587
86,2588
87,2589
88,2594
89,2602
90,2607
91,2732
92,2758
93,2814
94,2818
95,2921
96,2934
97,2946
98,2949
99,2975
100,3018
101,3076
102,3177
103,3205
104,3206
105,3210
106,3243
107,3261
108,3265
109,3266
110,3285
111,3314
112,3387
113,3399
114,3482
115,3493
116,3495
117,3534
118,3555
119,3702
120,3718
121,3738
122,3741
123,3745
124,3747
125,3765
126,3766
127,3805
128,3822
129,3829
130,3830
131,3837
132,3841
133,3856
134,3888
135,3913
136,3914
137,3936
138,3954
139,3962
140,3981
141,4015
142,4019
143,4059
144,4080
145,4157
146,4222
147,4227
148,4234
149,4240
150,4299
151,4300
152,4346
153,4408
154,4425
155,4431
156,4437
157,4478
158,4480
159,4557
160,4576
161,4694
162,4740
163,4790
164,4804
165,4843
166,4850
167,4936
168,5009
169,5086
170,5112
171,5149
172,5186
173,5275
174,5302
175,5303
176,5305
177,5385
178,5428
179,5439
180,5451
181,5468
182,5475
183,5482
184,5548
185,5581
186,5607
187,5614
188,5625
189,5659
190,5669
191,5702
192,5723
193,5733
194,5750
195,5825
196,5836
197,5841
198,5922
199,5997
200,6003
201,6033
202,6049
203,6072
204,6091
205,6155
206,6160
207,6221
208,6224
209,6258
210,6360
211,6426
212,6480
213,6539
214,6588
215,6628
216,6668
217,6685
218,6711
219,6844
220,6870
221,6876
222,6899
223,6966
224,7073
225,7109
226,7119
227,7193
228,7194
229,7197
230,7231
231,7300
232,7331
233,7359
234,7426
235,7428
236,7430
237,7435
238,7514
239,7516
240,7540
241,7574
242,7601
243,7623
244,7655
245,7662
246,7663
247,7685
248,7688
249,7705
250,7724
251,7733
252,7734
253,7750
254,7759
255,7766
256,7783
257,7800
258,7807
259,7876
260,7877
261,7896
262,7917
263,7965
264,7974
265,7977
266,7994
267,8029
268,8069
269,8082
270,8120
271,8121
272,8150
273,8191
274,8193
275,8194
276,8209
277,8231
278,8243
279,8265
280,8337
281,8338
282,8339
283,8341
284,8385
285,8394
286,8395
287,8396
288,8415
289,8430
290,8435
291,8460
292,8494
293,8521
294,8549
295,8560
296,8569
