,0
0,171
1,173
2,385
3,824
4,874
5,950
6,1087
7,1138
8,1141
9,1246
10,1267
11,1268
12,1269
13,1390
14,1397
15,1468
16,1484
17,1544
18,1587
19,1626
20,1673
21,1783
22,1806
23,1862
24,1898
25,1939
26,1940
27,2076
28,2124
29,2217
30,2235
31,2264
32,2295
33,2402
34,2466
35,2556
36,2564
37,2727
38,2774
39,2813
40,2827
41,2855
42,2856
43,2879
44,3002
45,3012
46,3040
47,3041
48,3050
49,3088
50,3150
51,3175
52,3176
53,3216
54,3232
55,3240
56,3247
57,3306
58,3385
59,3389
60,3438
61,3453
62,3475
63,3540
64,3553
65,3611
66,3653
67,3725
68,3730
69,3749
70,3795
71,3845
72,3926
73,4077
74,4161
75,4191
76,4196
77,4273
78,4403
79,4419
80,4549
81,4554
82,4555
83,4618
84,4620
85,4725
86,4752
87,4756
88,4757
89,4764
90,4788
91,4824
92,4828
93,4858
94,4893
95,4904
96,4925
97,5014
98,5078
99,5200
100,5207
101,5209
102,5227
103,5238
104,5241
105,5242
106,5286
107,5320
108,5392
109,5404
110,5408
111,5418
112,5419
113,5471
114,5490
115,5496
116,5506
117,5541
118,5576
119,5602
120,5664
121,5806
122,5881
123,5882
124,5948
125,6044
126,6100
127,6129
128,6133
129,6136
130,6143
131,6150
132,6201
133,6210
134,6218
135,6242
136,6248
137,6266
138,6280
139,6303
140,6310
141,6312
142,6345
143,6392
144,6425
145,6565
146,6580
147,6583
148,6592
149,6666
150,6679
151,6680
152,6690
153,6693
154,6723
155,6808
156,6834
157,6927
158,6946
159,6973
160,6991
161,7021
162,7087
163,7090
164,7157
165,7481
166,7492
167,7609
168,7629
169,7653
170,7659
171,7769
172,7778
173,7780
174,7795
175,7902
176,7904
177,7914
178,7928
179,7954
180,7957
181,8019
182,8021
183,8064
184,8085
185,8090
186,8108
187,8146
188,8217
189,8218
190,8248
191,8315
192,8333
193,8511
194,8522
195,8534
